name;essround;edition;proddate;idno;cntry;dweight;pspwght;pweight;anweight;prob;stratum;psu;netusoft;trstplc;stfeco;stfhlth;happy;sclmeet;inprdsc;sclact;aesfdrk;health;rlgblg;dscrrce;gndr;agea;eisced;eduyrs;hincfel;livpnt;ipgdtim
ESS10e03;10;3.0;08.05.2023;10004;CH;1;0.7114873;0.48352128;0.34401923;0.00042428548;280;4251;5;8;8;7;8;5;4;2;2;2;1;0;1;57;3;9;1;1;3
ESS10e03;10;3.0;08.05.2023;10014;CH;1;1.0305418;0.48352128;0.49828887;0.00042428548;280;4634;5;9;10;10;10;7;3;2;4;1;1;0;2;33;5;9;1;1;2
ESS10e03;10;3.0;08.05.2023;10019;CH;1;0.99891967;0.48352128;0.4829989;0.00042428548;280;4471;1;6;7;9;10;4;2;3;3;3;1;0;2;90;2;11;3;4;1
ESS10e03;10;3.0;08.05.2023;10024;CH;1;1.14468;0.48352128;0.55347717;0.00042428548;280;3552;5;7;9;9;7;6;5;3;1;2;1;0;1;22;3;9;2;1;2
ESS10e03;10;3.0;08.05.2023;10038;CH;1;0.9286218;0.48352128;0.4490084;0.00042428548;280;4446;5;7;8;10;7;7;4;3;2;2;1;0;2;72;5;10;1;4;1
ESS10e03;10;3.0;08.05.2023;10053;CH;1;1.1733779;0.48352128;0.5673532;0.00042428548;280;3829;5;8;8;8;8;6;3;3;1;1;2;0;1;16;2;9;2;1;2
ESS10e03;10;3.0;08.05.2023;10055;CH;1;1.1733779;0.48352128;0.5673532;0.00042428548;280;4038;5;8;6;8;8;6;4;3;2;1;1;0;1;33;7;13;1;1;3
ESS10e03;10;3.0;08.05.2023;10059;CH;1;1.0420448;0.48352128;0.5038508;0.00042428548;280;3768;1;8;7;9;8;2;2;2;1;3;1;0;2;61;2;8;3;4;3
ESS10e03;10;3.0;08.05.2023;10062;CH;1;1.0489836;0.48352128;0.5072059;0.00042428548;280;4556;5;8;8;7;9;6;5;4;1;1;2;0;1;36;7;18;1;1;2
ESS10e03;10;3.0;08.05.2023;10071;CH;1;1.0165597;0.48352128;0.49152824;0.00042428548;280;4648;5;10;5;10;10;7;3;3;1;3;1;0;2;80;3;8;1;4;2
ESS10e03;10;3.0;08.05.2023;10077;CH;1;0.855553;0.48352128;0.41367805;0.00042428548;280;3709;5;6;9;9;9;4;3;3;2;1;2;0;1;48;5;9;1;1;1
ESS10e03;10;3.0;08.05.2023;10078;CH;1;1.245084;0.48352128;0.6020246;0.00042428548;280;3360;5;6;7;9;8;6;4;3;1;2;2;0;1;32;5;9;1;1;2
ESS10e03;10;3.0;08.05.2023;10088;CH;1;0.9256563;0.48352128;0.44757453;0.00042428548;280;4486;3;9;7;8;5;5;3;2;2;2;1;0;1;56;3;9;1;4;3
ESS10e03;10;3.0;08.05.2023;10089;CH;1;1.1281313;0.48352128;0.5454755;0.00042428548;280;3585;5;7;9;9;8;6;4;3;1;1;1;0;2;18;2;10;1;1;2
ESS10e03;10;3.0;08.05.2023;10093;CH;1;1.0456595;0.48352128;0.5055986;0.00042428548;280;4055;4;6;8;8;6;6;3;2;1;3;2;0;1;32;6;16;2;2;1
ESS10e03;10;3.0;08.05.2023;10104;CH;1;0.855553;0.48352128;0.41367805;0.00042428548;280;3210;5;6;8;8;8;3;3;2;2;2;2;0;1;999;6;15;1;1;4
ESS10e03;10;3.0;08.05.2023;10107;CH;1;0.87234604;0.48352128;0.42179787;0.00042428548;280;3517;5;10;7;8;8;4;5;3;3;2;1;0;1;81;7;19;1;4;4
